Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.28353727531523043,0.6207986111111111,0.18693015556254286,0.9268194856590052,0.16731339443783894,461.222613914,0.041410274499980915,0.0,461.2640241885,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,600,120,0.2,probability,0.28353727531523043,0.6207986111111111,0.15813609074123486,0.4946994147461762,0.06555287800729276,461.222613914,0.011756585000057385,0.03003065500001867,461.2644011540001,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",sigmoid calibration fitted on calibration window
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.27761575323636056,0.6124305555555555,0.15676367504299266,0.49301589736970347,0.04194910747619966,9.386718316000042,49.57527847699998,0.0,58.961996793000026,,,direct TFM context excludes calibration-window labels
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.20456353554300222,0.4763541666666667,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18976827610790892,0.4284027777777778,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18321871721112923,0.4214930555555555,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.17803180576974692,0.4381770833333334,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.30206057650137474,0.6383635555555556,0.15549458104688788,0.49016978623216506,0.03997606748292844,9.386718316000042,49.57527847699998,0.0,58.961996793000026,,,direct TFM context excludes calibration-window labels
TabPFN[Direct allocation scorer],TabPFN,direct_tfm,none,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.087622382000063,67.82350613299991,0.0,77.91112851499997,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
XGBoost[GPU allocation scorer],XGBoost,gpu_boosted_tree,none,holdout,1875,375,0.2,probability,0.25199089221514565,0.5768017777777777,0.1882235356061437,0.9239706154233358,0.16681102434941908,463.40013067199993,0.06985815799998818,0.0,463.4699888299999,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",randomized search on monthly rolling-origin folds; final model fit on all pre-holdout rows
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24710879067451433,0.5233937777777777,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24546715106279854,0.525712,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[12M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.2438064939418784,0.5311928888888888,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,holdout,1875,375,0.2,probability,0.24031036797905525,0.5546648888888889,0.15924109472314504,0.49819123489416595,0.021488086223602293,461.222613914,0.011756585000057385,0.03003065500001867,461.2644011540001,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",sigmoid calibration fitted on calibration window
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.24031036797905522,0.5546648888888889,0.19017605993461803,0.9909691974273257,0.17339952054677849,461.222613914,0.041410274499980915,0.0,461.2640241885,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",base model excludes calibration-window labels
Dummy[Preholdout prior probability],Dummy,baseline,none,holdout,1875,375,0.2,probability,0.2,0.5,0.1600005849496013,0.5004042480213541,,0.0,0.0,0.0,0.0,,,constant prior from pre-holdout label frequency
Rule[Low volatility top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.16553332775121618,0.4050151111111111,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
